x0,y0,x1,y1,x2,y2,x3,y3
"(454.5, 568.0)","(818.0, 206.0)","(817.0, 207.5)"
"(457.0, 577.5)","(813.5, 203.5)","(814.0, 204.5)"
"(458.0, 582.0)","(811.0, 201.5)","(812.0, 201.0)"
"(458.5, 586.0)","(808.0, 200.0)","(809.0, 200.5)"
"(461.0, 589.5)","(806.0, 195.5)","(806.5, 195.5)"
"(464.5, 593.0)","(801.0, 192.5)","(802.5, 193.0)"
"(468.5, 597.0)","(797.0, 189.0)","(796.5, 190.5)"
"(469.5, 601.0)","(792.0, 186.0)","(793.0, 186.5)"
"(472.0, 602.0)","(787.0, 182.5)","(788.0, 183.0)"
"(474.0, 603.0)","(783.5, 181.0)","(784.0, 182.0)"
"(474.5, 606.5)","(781.0, 179.0)","(780.5, 177.5)"
"(474.0, 610.0)","(777.0, 174.0)","(776.0, 174.5)"
"(473.5, 612.0)","(771.5, 171.5)","(771.5, 170.5)"
"(473.5, 613.5)","(767.0, 169.5)","(766.5, 167.5)"
"(473.5, 615.5)","(762.5, 165.0)","(762.5, 165.5)"
"(475.0, 618.5)","(759.0, 162.5)","(759.0, 163.0)"
"(472.5, 622.0)","(754.5, 159.5)","(754.0, 160.5)"
"(473.5, 625.0)","(749.0, 158.0)","(748.5, 157.5)"
"(471.0, 629.0)","(744.0, 155.0)","(744.0, 155.0)"
"(471.0, 635.0)","(737.0, 151.0)","(737.5, 151.5)"
"(471.5, 640.0)","(729.5, 147.5)","(730.5, 146.5)"
"(473.0, 644.0)","(723.0, 142.5)","(722.0, 142.5)"
"(474.0, 647.5)","(712.0, 137.0)","(711.5, 136.5)"
"(472.5, 650.5)","(703.5, 132.5)","(703.5, 132.5)"
"(471.5, 654.5)","(697.0, 128.0)","(697.0, 128.5)"
"(470.5, 659.0)","(691.5, 126.0)","(693.5, 126.5)"
"(472.0, 663.5)","(687.0, 125.0)","(689.0, 124.5)"
"(470.5, 666.5)","(683.5, 120.5)","(683.0, 120.5)"
"(471.0, 669.0)","(678.5, 116.0)","(678.5, 116.0)"
"(471.5, 672.0)","(675.5, 112.0)","(675.0, 112.0)"
"(472.0, 673.5)","(673.0, 110.0)","(673.0, 109.0)"
"(473.5, 677.0)","(671.0, 107.5)","(670.5, 106.5)"
"(477.0, 680.5)","(665.5, 105.0)","(666.5, 104.0)"
"(480.0, 682.5)","(659.0, 101.0)","(660.0, 100.0)"
"(480.5, 684.0)","(652.0, 96.0)","(652.0, 95.5)"
"(480.0, 688.0)","(643.0, 92.5)","(642.5, 92.0)"
"(482.5, 694.0)","(633.0, 90.0)","(633.5, 90.0)"
"(482.0, 698.5)","(627.0, 90.0)","(626.0, 88.0)"
"(482.5, 702.5)","(621.5, 89.0)","(621.5, 88.0)"
"(483.0, 705.0)","(618.0, 83.5)","(617.0, 84.5)"
"(484.0, 707.0)","(614.0, 81.0)","(613.0, 82.0)"
"(485.5, 708.5)","(608.5, 79.0)","(608.5, 80.0)"
"(488.0, 712.0)","(604.0, 77.5)","(603.0, 77.0)"
"(491.5, 712.5)","(600.5, 74.5)","(600.0, 75.5)"
"(492.5, 713.0)","(594.5, 74.5)","(594.5, 74.5)"
"(492.0, 713.0)","(586.0, 75.0)","(585.5, 74.5)"
"(493.0, 713.0)","(577.5, 70.5)","(577.0, 70.5)"
"(493.5, 715.0)","(570.0, 69.0)","(569.0, 69.0)"
"(494.5, 716.0)","(562.0, 65.5)","(562.0, 66.0)"
"(494.0, 717.5)","(554.0, 64.0)","(553.5, 65.5)"
"(494.0, 721.0)","(548.0, 63.5)","(548.0, 64.0)"
"(494.0, 724.0)","(543.0, 64.5)","(543.0, 64.0)"
"(497.5, 725.0)","(537.0, 63.0)","(537.0, 63.5)"
"(498.5, 726.0)","(533.0, 63.5)","(532.5, 63.5)"
"(499.5, 726.5)","(527.0, 64.5)","(526.5, 64.5)"
"(500.0, 728.0)","(521.0, 66.0)","(522.0, 66.0)"
"(502.0, 729.0)","(515.0, 70.0)","(515.0, 69.0)"
"(502.5, 730.0)","(510.5, 73.5)","(510.0, 72.0)"
"(505.0, 730.5)","(505.0, 74.5)","(504.5, 75.0)"
"(506.0, 731.0)","(499.0, 78.0)","(499.0, 78.0)"
"(507.0, 732.5)","(494.0, 80.0)","(494.0, 81.0)"
"(511.0, 735.0)","(491.0, 83.5)","(491.0, 84.0)"
"(511.5, 738.0)","(488.0, 86.0)","(487.5, 85.5)"
"(512.5, 741.0)","(486.0, 89.0)","(486.5, 89.0)"
"(514.5, 741.0)","(483.5, 91.5)","(483.0, 91.0)"
"(515.0, 743.0)","(481.0, 94.0)","(481.0, 94.0)"
"(519.0, 738.5)","(476.5, 97.0)","(477.5, 97.5)"
"(522.0, 739.5)","(473.0, 102.0)","(473.0, 101.5)"
"(523.0, 738.5)","(469.0, 108.0)","(469.5, 107.0)"
"(524.5, 737.0)","(464.5, 110.5)","(466.5, 112.5)"
"(527.0, 735.0)","(462.0, 117.0)","(462.0, 116.0)"
"(531.0, 734.0)","(459.5, 121.5)","(460.5, 120.5)"
"(534.5, 734.5)","(459.0, 122.5)","(458.0, 122.5)"
"(537.5, 732.5)","(457.5, 123.5)","(456.5, 123.5)"
"(539.0, 733.5)","(454.0, 125.0)","(453.5, 125.0)"
"(541.5, 733.5)","(451.0, 129.5)","(451.5, 130.0)"
"(544.5, 732.5)","(451.0, 134.5)","(450.5, 135.0)"
"(548.0, 733.5)","(450.0, 138.5)","(450.5, 139.0)"
"(553.0, 733.0)","(449.0, 143.5)","(448.5, 143.5)"
"(557.0, 732.0)","(447.5, 146.5)","(447.5, 146.5)"
"(558.5, 734.0)","(447.0, 154.0)","(447.5, 154.0)"
"(562.5, 736.5)","(447.5, 158.5)","(447.0, 158.5)"
"(567.5, 737.5)","(446.5, 163.0)","(446.0, 164.0)"
"(570.0, 736.0)","(446.0, 166.5)","(446.0, 166.5)"
"(573.0, 733.0)","(446.0, 167.0)","(446.0, 167.5)"
"(576.0, 733.0)","(447.0, 170.0)","(446.5, 170.5)"
"(578.5, 732.0)","(445.5, 172.0)","(445.5, 172.0)"
"(585.5, 736.0)","(444.0, 175.5)","(444.0, 176.0)"
"(588.5, 740.5)","(442.0, 180.5)","(442.0, 179.5)"
"(592.0, 741.0)","(441.5, 181.5)","(442.0, 184.0)"
"(596.0, 743.5)","(442.0, 187.0)","(442.0, 186.0)"
"(599.0, 747.5)","(442.5, 191.0)","(442.0, 190.0)"
"(601.5, 749.0)","(443.5, 193.5)","(443.5, 195.0)"
"(605.5, 750.5)","(443.0, 198.0)","(442.5, 198.0)"
"(607.0, 754.0)","(442.0, 200.5)","(442.0, 201.5)"
"(610.5, 754.0)","(441.5, 204.0)","(441.0, 205.0)"
