x,y,X1,Y1,X2,Y2,,
534.5,734.5,459,122.5,458,122.5,,
537.5,732.5,457.5,123.5,456.5,123.5,,
539,733.5,454,125,453.5,125,,
541.5,733.5,451,129.5,451.5,130,,
544.5,732.5,451,134.5,450.5,135,,
548,733.5,450,138.5,450.5,139,,
553,733,449,143.5,448.5,143.5,,
557,732,447.5,146.5,447.5,146.5,,
558.5,734,447,154,447.5,154,,
562.5,736.5,447.5,158.5,447,158.5,,
567.5,737.5,446.5,163,446,164,,
570,736,446,166.5,446,166.5,,
573,733,446,167,446,167.5,,
576,733,447,170,446.5,170.5,,
578.5,732,445.5,172,445.5,172,,
585.5,736,444,175.5,444,176,,
588.5,740.5,442,180.5,442,179.5,,
592,741,441.5,181.5,442,184,,
596,743.5,442,187,442,186,,
599,747.5,442.5,191,442,190,,
601.5,749,443.5,193.5,443.5,195,,
605.5,750.5,443,198,442.5,198,,
607,754,442,200.5,442,201.5,,
610.5,754,441.5,204,441,205,,
614,751,440.5,208,440,207,,
617.5,750.5,440.5,209.5,440.5,209,,
622,749,441,212,441,211,,
626,753,442.5,215,442.5,214,,
632,754.5,443.5,218,442.5,217.5,,
635,759,444.5,220.5,444,221,,
637.5,760,444,221.5,444.5,221.5,,
639.5,761.5,444.5,226,445,226.5,,
642.5,763.5,448,229.5,447,230.5,,
644,766.5,448,230.5,449,231.5,,
646.5,769.5,449,231.5,449,232,,
646,778.5,449,232.5,448.5,233,,
649,785.5,450,234,449.5,234,,
655,791.5,450.5,236.5,450.5,236,,
657.5,800,452,239,452,239.5,,
663,813,453.5,242.5,452.5,243,,
666,822.5,454,247,454,247,,
665.5,821,454.5,252.5,455,252,,
668.5,826,457.5,257,457.5,257,,
668,827,460.5,260.5,459,261.5,,
674,821,461.5,266.5,460.5,265,,
676.5,826.5,463,270,463,270,,
676.5,827.5,465.5,273.5,466.5,274,,
683,828,468.5,276,468.5,276.5,,
686,829,471,279,471,279.5,,
688.5,840,474.5,282.5,474.5,283,,
692,862.5,478.5,286.5,478,287,,
695,844,481,290,481.5,290,,
694.5,875,484.5,294,484,294.5,,
695,889.5,484.5,299.5,485,300,,
697.5,933,486.5,307,485.5,307.5,,
699,933.5,487,308,486.5,308,,
696,974.5,486.5,310,487.5,309.5,,
694,1015.5,488,314,488,314,,
694,1040.5,489,316,489.5,316,,
695.5,1075.5,491.5,318,491,317.5,,
695.5,1096,492.5,321.5,492.5,321.5,,
700,1111,494,323,494,323,,
697.5,1173,495.5,328,494,328,,
701.5,1208,495.5,332,495.5,332.5,,
702.5,1236.5,499,337,496.5,338,,
702,1312.5,502,344.5,500.5,345,,
704.5,1379,505,350.5,504,350.5,,
700.5,1463.5,507,354.5,507,354,,
702.5,1537.5,510,360.5,508.5,360,,
705,1641,509,364.5,509.5,365,,
707,1729.5,509,368,509.5,368,,
707,1759,510,372,509.5,371.5,,
704.5,1827.5,509.5,375,509,373.5,,
705.5,1732,509.5,377,509,377,,
708,1782.5,509,380.5,510.5,381,,
712,1306.5,509.5,385,510,384.5,,
714,1249.5,509,388.5,509,387.5,,
715.5,1317,508.5,394,507,392.5,,
725,1035,507,399,507.5,400,,
721.5,893.5,504.5,403.5,506.5,404,,
720,894,504.5,406,504.5,406.5,,
720,737,502.5,409.5,502.5,409.5,,
714,498.5,499,414,499.5,415.5,,
714.5,346,497.5,417.5,498.5,418.5,,
713.5,232,495.5,421.5,497,422,,
714.5,166,494.5,423.5,494.5,424,,
715.5,143.5,492.5,427.5,493,428.5,,
717.5,151.5,491,429,491.5,430.5,,
720,270,491.5,425.5,491,429.5,,
722.5,355,488,425.5,489,427,,
734,351,483,426,482.5,427.5,,
750,342,478,429.5,479,429.5,,
763,473.5,475.5,433,475,433,,
773,486.5,471.5,437.5,471,437.5,,
780.5,463.5,469.5,442.5,468.5,441.5,,
780,478.5,467.5,446,466.5,444.5,,
781,476,466,445.5,465.5,446,,
782,493.5,465.5,448,465,448.5,,
781,509,463,449.5,463.5,450.5,,
783,514,459,452.5,460,452.5,,
784.5,519.5,456,455.5,456.5,456,,
786,508.5,452.5,457.5,453,457.5,,
783.5,512.5,450.5,460,451.5,459,,
784.5,529.5,450.5,461,449,461.5,,
782.5,525.5,448,461.5,448.5,462,,
780.5,504.5,445.5,462,446,462,,
782.5,477.5,443.5,465,443,465,,
779,465.5,441.5,466.5,441.5,467,,
777.5,447,440,468,440.5,468,,
776,439,439,468,439.5,468,,
773,431.5,440,467.5,439.5,468,,
770,423.5,440,467.5,440.5,467,,
771.5,416,441,466.5,440.5,467,,
774,417.5,439.5,465.5,439.5,465.5,,
775,420.5,439,467,439,467,,
777,425,440,468.5,439.5,468.5,,
778,424.5,439.5,470.5,439.5,471,,
778.5,423.5,436.5,475.5,436.5,475,,
784.5,424,434,477.5,434,477.5,,
785.5,428,432.5,481.5,432,480.5,,
791.5,423,431,485.5,429.5,485,,
797,413.5,428,488.5,428.5,488.5,,
801,414.5,427,490.5,427.5,490,,
811.5,422,427.5,491,427.5,490.5,,
820.5,435,427.5,492,428,491,,
834.5,465,427.5,493,428.5,493,,
833,481.5,429,495.5,428.5,494,,
831.5,480,430,495.5,430,495.5,,
834,481,430.5,495,429.5,495.5,,
836,481.5,429.5,495,429.5,496,,
838.5,481,431,496,431,496,,
841,480.5,431.5,498,432,497,,
842.5,480.5,433.5,499.5,432.5,499,,
845.5,480.5,436,500.5,435,500,,
643.5,257,382,194.5,597,498,,
643,258.5,384,194,603.5,495.5,,
644,258,386,191,605,497,,
644,258,387.5,189,606.5,498.5,,
645.5,257,388.5,184.5,606.5,499,,
646,255.5,390,180.5,605,500.5,,
646,255,390.5,180.5,603.5,503,,
646.5,254,389.5,177.5,604,502.5,,
646,250,385,172,604,500.5,,
646.5,248,384.5,167,602.5,497,,
647,244,385,162.5,600,493,,
649,242,384.5,158,596.5,490,,
651,240,385,156,590,486,,
654.5,236.5,384,152.5,582.5,481.5,,
658.5,233.5,383,149,580,479.5,,
662.5,231,382,145,578,476.5,,
664,228.5,380.5,142,577,475,,
666.5,226.5,379,137,576.5,473,,
668,224,379,134.5,576.5,470,,
669.5,221,377.5,133.5,575.5,468,,
670,220.5,375.5,129,575,467,,
671,217,375,124.5,574,464.5,,
671,217,376,121.5,573.5,463,,
672,213.5,376.5,117.5,573,461.5,,
672.5,212,376,113,572.5,459.5,,
673,208,374.5,106.5,571,458,,
674,207,372.5,102,569,454.5,,
673.5,203.5,370.5,96.5,569,452.5,,
673,201.5,370,92,567.5,450,,
672.5,198.5,369.5,88,566.5,448.5,,
673,196,369.5,83.5,565,446.5,,
671.5,194,370,79,562.5,444,,
667.5,193,370,75,561.5,442,,
666.5,191.5,368.5,71,560,440,,
666.5,191,367,67.5,559,438,,
666.5,188.5,365.5,65,557,438,,
666.5,188.5,365,62,555.5,434.5,,
665.5,190,365.5,58,555.5,434.5,,
665,191,366,55.5,554,431.5,,
665,193,366.5,53.5,552.5,431,,
664,192.5,367,51.5,552.5,429.5,,
663.5,191,369,49,550,425.5,,
662.5,189.5,371.5,48.5,549.5,423,,
660,186.5,372.5,47.5,548.5,420,,
656.5,183,373.5,46,548.5,419,,
655,179,376,43,550,418,,
652.5,177,377,39,551,415.5,,
650.5,174,378.5,34.5,551,413,,
651,172,378.5,32.5,553.5,412.5,,
650.5,170.5,380,27.5,554,410,,
650,170,380.5,27,555,409.5,,
648.5,166.5,379.5,24,555.5,407,,
649,165.5,377.5,23.5,557.5,406,,
648,163,378,20.5,559.5,404.5,,
646,159.5,380,19,561,403.5,,
644,157.5,381.5,17.5,565,405,,
644,156,383,16.5,569,406.5,,
642.5,152.5,385,17,569.5,409,,
640.5,151.5,388.5,21,573,407.5,,
638,151,394.5,25.5,578.5,407,,
637,149,398,25.5,580.5,407.5,,
635.5,148.5,400,26.5,582,407.5,,
635.5,147,399,27,583,407,,
634.5,146.5,398,26.5,584.5,406.5,,
635,144,398,26.5,588,406.5,,
634.5,143,398.5,27,591,408.5,,
634,141,398.5,26.5,592,408.5,,
634,138.5,398.5,27,598.5,410.5,,
633.5,137,395.5,27.5,604,412,,
635,136.5,393.5,29,607.5,411.5,,
634.5,134,392.5,30.5,609,413.5,,
635,132,392,31.5,610.5,415,,
635.5,128,390,31,610.5,416.5,,
636.5,125,388,33.5,610.5,418,,
636.5,121,387.5,35,611.5,419.5,,
638.5,118,387,38,612,421,,
637.5,113.5,386.5,39,615.5,422,,
637.5,110.5,385.5,38,616,422.5,,
637.5,107.5,385,39.5,617,422.5,,
639,107,384.5,40.5,616.5,421.5,,
639.5,106.5,383.5,38.5,615.5,422,,
639,105.5,383.5,40,616.5,423.5,,
641,104,383,40,617,423,,
641.5,104,382.5,38,616.5,422.5,,
641,102,382.5,36,618,422,,
642,100.5,382,33.5,618,422,,
641,100,381,35.5,618.5,421.5,,
641.5,97.5,380.5,33,617.5,421.5,,
642,95.5,379.5,30.5,618.5,419.5,,
641.5,92.5,380.5,31.5,617,418,,
641,90.5,381,33,615.5,417.5,,
642,88,379,36,614,416.5,,
642,86.5,376.5,39.5,613.5,416,,
641.5,85,374.5,38.5,612.5,414.5,,
641,83.5,371.5,41.5,611,413.5,,
640.5,83.5,368,43,609.5,412,,
640.5,81.5,365,43.5,608.5,409.5,,
640.5,81,364.5,44.5,608.5,408,,
642,79.5,362.5,44,606,407.5,,
641.5,78,361.5,44.5,604.5,402.5,,
641.5,78,361.5,44.5,602,400.5,,
642,77.5,361.5,43,600.5,398,,
641.5,77,361,43,597.5,395,,
642,76.5,360.5,42.5,596.5,392.5,,
640.5,75.5,359.5,43.5,595,389.5,,
638,74.5,359,43.5,594.5,387.5,,
638,73.5,358.5,42,594,386,,
634.5,72.5,357.5,41,593.5,387.5,,
633,72.5,357,39,591.5,384.5,,
632.5,73.5,356.5,38.5,590.5,381.5,,
630.5,73,356.5,38,589.5,377.5,,
629,73,355.5,39,590.5,375.5,,
628.5,74,354.5,38,589,374,,
627,74.5,353.5,37,589.5,373.5,,
628.5,76.5,353,37.5,589.5,373.5,,
627.5,78,352.5,37,589,372.5,,
627,78.5,351,36.5,588,372,,
627.5,80.5,351,38,588.5,371.5,,
627,82,350.5,36.5,587,370.5,,
624,83.5,350,37.5,586.5,370,,
620.5,84,349,38,585.5,367,,
618,83.5,349,37,585.5,367,,
617,84.5,348.5,38,585.5,365.5,,
643.5,257,382,194.5,597,498,,
643,258.5,384,194,603.5,495.5,,
644,258,386,191,605,497,,
644,258,387.5,189,606.5,498.5,,
645.5,257,388.5,184.5,606.5,499,,
646,255.5,390,180.5,605,500.5,,
646,255,390.5,180.5,603.5,503,,
646.5,254,389.5,177.5,604,502.5,,
646,250,385,172,604,500.5,,
646.5,248,384.5,167,602.5,497,,
647,244,385,162.5,600,493,,
649,242,384.5,158,596.5,490,,
651,240,385,156,590,486,,
654.5,236.5,384,152.5,582.5,481.5,,
658.5,233.5,383,149,580,479.5,,
662.5,231,382,145,578,476.5,,
664,228.5,380.5,142,577,475,,
666.5,226.5,379,137,576.5,473,,
668,224,379,134.5,576.5,470,,
669.5,221,377.5,133.5,575.5,468,,
670,220.5,375.5,129,575,467,,
671,217,375,124.5,574,464.5,,
671,217,376,121.5,573.5,463,,
672,213.5,376.5,117.5,573,461.5,,
672.5,212,376,113,572.5,459.5,,
673,208,374.5,106.5,571,458,,
674,207,372.5,102,569,454.5,,
673.5,203.5,370.5,96.5,569,452.5,,
673,201.5,370,92,567.5,450,,
672.5,198.5,369.5,88,566.5,448.5,,
673,196,369.5,83.5,565,446.5,,
671.5,194,370,79,562.5,444,,
667.5,193,370,75,561.5,442,,
666.5,191.5,368.5,71,560,440,,
666.5,191,367,67.5,559,438,,
666.5,188.5,365.5,65,557,438,,
666.5,188.5,365,62,555.5,434.5,,
665.5,190,365.5,58,555.5,434.5,,
665,191,366,55.5,554,431.5,,
665,193,366.5,53.5,552.5,431,,
664,192.5,367,51.5,552.5,429.5,,
663.5,191,369,49,550,425.5,,
662.5,189.5,371.5,48.5,549.5,423,,
660,186.5,372.5,47.5,548.5,420,,
656.5,183,373.5,46,548.5,419,,
655,179,376,43,550,418,,
652.5,177,377,39,551,415.5,,
650.5,174,378.5,34.5,551,413,,
651,172,378.5,32.5,553.5,412.5,,
650.5,170.5,380,27.5,554,410,,
650,170,380.5,27,555,409.5,,
648.5,166.5,379.5,24,555.5,407,,
649,165.5,377.5,23.5,557.5,406,,
648,163,378,20.5,559.5,404.5,,
646,159.5,380,19,561,403.5,,
644,157.5,381.5,17.5,565,405,,
644,156,383,16.5,569,406.5,,
642.5,152.5,385,17,569.5,409,,
640.5,151.5,388.5,21,573,407.5,,
638,151,394.5,25.5,578.5,407,,
637,149,398,25.5,580.5,407.5,,
635.5,148.5,400,26.5,582,407.5,,
635.5,147,399,27,583,407,,
634.5,146.5,398,26.5,584.5,406.5,,
635,144,398,26.5,588,406.5,,
634.5,143,398.5,27,591,408.5,,
634,141,398.5,26.5,592,408.5,,
634,138.5,398.5,27,598.5,410.5,,
633.5,137,395.5,27.5,604,412,,
635,136.5,393.5,29,607.5,411.5,,
634.5,134,392.5,30.5,609,413.5,,
635,132,392,31.5,610.5,415,,
635.5,128,390,31,610.5,416.5,,
636.5,125,388,33.5,610.5,418,,
636.5,121,387.5,35,611.5,419.5,,
638.5,118,387,38,612,421,,
637.5,113.5,386.5,39,615.5,422,,
637.5,110.5,385.5,38,616,422.5,,
637.5,107.5,385,39.5,617,422.5,,
639,107,384.5,40.5,616.5,421.5,,
639.5,106.5,383.5,38.5,615.5,422,,
639,105.5,383.5,40,616.5,423.5,,
641,104,383,40,617,423,,
641.5,104,382.5,38,616.5,422.5,,
641,102,382.5,36,618,422,,
642,100.5,382,33.5,618,422,,
641,100,381,35.5,618.5,421.5,,
641.5,97.5,380.5,33,617.5,421.5,,
642,95.5,379.5,30.5,618.5,419.5,,
